Re                            | Brutos
hardly: 50                    | well: 48
front: 50                     | dear: 47
brought: 50                   | father: 46
hat: 50                       | mind: 46
help: 50                      | gave: 46
possible: 50                  | asked: 45
behind: 50                    | being: 45
told: 50                      | within: 45
life: 49                      | That: 45
understand: 49                | front: 45
under: 49                     | anything: 45
leave: 48                     | black: 44
both: 48                      | under: 44
home: 48                      | whole: 43
already: 48                   | head: 43
thing: 47                     | name: 43
1: 47                         | already: 43
use: 47                       | hands: 42
suddenly: 47                  | behind: 42
money: 47                     | wish: 42
words: 46                     | “He: 42
strange: 46                   | enough: 41
minutes: 46                   | “That: 41
gave: 46                      | lay: 41
paper: 45                     | leave: 41
hair: 45                      | really: 41
whole: 45                     | whether: 41
certainly: 45                 | strange: 40
being: 45                     | Watson,: 40
gone: 45                      | looking: 40
point: 45                     | also: 40
wish: 45                      | better: 40
fire: 45                      | help: 39
papers: 45                    | call: 39
gentleman: 45                 | so.: 39
days: 45                      | Mrs.: 39
mrs: 44                       | both: 39
many: 44                      | then?”: 39
clear: 44                     | lady: 39
whether: 43                   | “No,: 39
call: 43                      | “Then: 39
sure: 43                      | less: 38
another: 42                   | passed: 38
baker: 42                     | large: 38
yourself: 42                  | When: 38
pray: 42                      | “My: 38
lay: 42                       | whom: 38
word: 41                      | room,: 37
large: 41                     | met: 37
passed: 41                    | half: 37
does: 41                      | many: 37
met: 41                       | use: 37
london: 41                    | open: 37
lord: 41                      | soon: 37
men: 40                       | now,: 36
simon: 40                     | end: 36
dark: 40                      | They: 36
whom: 40                      | £: 36
five: 40                      | chair: 36
read: 39                      | Lord: 35
country: 39                   | save: 35
soon: 39                      | wife: 35
doctor: 39                    | woman: 35
since: 39                     | it.”: 35
bed: 39                       | why: 35
during: 38                    | up,: 34
four: 38                      | home: 34
lestrade: 38                  | “There: 34
clock: 38                     | stood: 34
interest: 38                  | clear: 34
rucastle: 38                  | across: 34
less: 38                      | life: 33
evening: 37                   | ask: 33
save: 37                      | yourself: 33
mccarthy: 37                  | Baker: 33
across: 37                    | possible: 33
part: 36                      | asked.: 33
least: 36                     | cried: 33
note: 36                      | days: 33
returned: 36                  | during: 33
moment: 36                    | I,: 33
opened: 36                    | night: 33
among: 35                     | suddenly: 33
believe: 35                   | among: 33
facts: 35                     | rushed: 33
hour: 35                      | On: 32
stood: 35                     | either: 32
together: 35                  | window: 32
story: 35                     | you.”: 32
strong: 35                    | part: 32
o: 35                         | thing: 32
ask: 35                       | strong: 32
question: 35                  | each: 32
waiting: 34                   | singular: 32
none: 34                      | gentleman: 32
ll: 34                        | sure: 32
fellow: 34                    | remarked: 32
sister: 34                    | laid: 31
companion: 34                 | another: 31
used: 34                      | does: 31
either: 34                    | hand,: 31
sitting: 33                   | read: 31
rushed: 33                    | gone: 31
given: 33                     | became: 31
felt: 33                      | think,: 31
singular: 33                  | hear: 31
new: 33                       | is,: 31
each: 33                      | since: 31
entered: 33                   | At: 31
hear: 33                      | several: 30
going: 32                     | perhaps: 30
works: 32                     | able: 30
road: 32                      | word: 30
else: 32                      | door,: 30
corner: 32                    | given: 30
hope: 32                      | room.: 30
laid: 32                      | felt: 30
ah: 32                        | course: 30
seven: 32                     | opened: 30
crime: 32                     | new: 29
instant: 31                   | “This: 29
sound: 31                     | us.: 29
able: 31                      | words: 29
became: 31                    | least: 29
forward: 31                   | returned: 29
death: 31                     | threw: 29
near: 31                      | house,: 29
stone: 31                     | five: 29
several: 31                   | hope: 29
best: 31                      | Now,: 28
client: 31                    | time,: 28
turn: 30                      | that,: 28
letter: 30                    | morning,: 28
family: 30                    | papers: 28
don: 30                       | keep: 28
ten: 30                       | Dr.: 28
ran: 30                       | near: 28
heavy: 30                     | dark: 27
cut: 30                       | electronic: 27
anyone: 29                    | place: 27
keep: 29                      | walked: 27
god: 29                       | anyone: 27
things: 29                    | hair: 27
white: 29                     | minutes: 27
hard: 29                      | cut: 27
floor: 29                     | certainly: 27
coat: 29                      | believe: 27
full: 29                      | window,: 27
true: 29                      | again: 26
past: 29                      | drove: 26
dr: 29                        | four: 26
imagine: 29                   | course,: 26
inspector: 29                 | heavy: 26
known: 29                     | turn: 26
colonel: 29                   | For: 26
rooms: 29                     | coming: 26
year: 29                      | so,: 26
threw: 29                     | used: 26
six: 29                       | man.: 26
obvious: 29                   | THE: 26
seems: 28                     | ran: 26
coronet: 28                   | paper: 26
walked: 28                    | corner: 26
people: 28                    | called: 26
late: 28                      | best: 26
fear: 28                      | door.: 25
husband: 28                   | face,: 25
lamp: 28                      | waiting: 25
manner: 28                    | want: 25
want: 28                      | Rucastle: 25
cry: 28                       | full: 25
feet: 28                      | there,: 25
lost: 28                      | point: 25
coming: 28                    | One: 25
taken: 28                     | “We: 25
station: 28                   | led: 25
ago: 28                       | facts: 25
week: 27                      | going: 25
office: 27                    | moment: 25
absolutely: 27                | taken: 25
second: 27                    | police: 25
girl: 27                      | I.: 25
visitor: 27                   | it?”: 24
dress: 27                     | sir,: 24
above: 27                     | ten: 24
marriage: 27                  | out,: 24
holder: 27                    | hat: 24
letters: 27                   | absolutely: 24
appeared: 27                  | all,: 24
air: 27                       | With: 24
present: 27                   | son: 24
electronic: 27                | held: 24
spoke: 27                     | her,: 24
remember: 27                  | seven: 24
goose: 27                     | me.”: 24
clair: 27                     | answered: 24
alone: 27                     | money: 24
address: 26                   | cry: 24
held: 26                      | seems: 24
thank: 26                     | appeared: 24
person: 26                    | second: 24
mine: 26                      | began: 24
called: 26                    | things: 24
reason: 26                    | them,: 23
rose: 26                      | glancing: 23
e: 26                         | Gutenberg: 23
blue: 26                      | white: 23
dressed: 26                   | question: 23
outside: 26                   | hour: 23
drove: 26                     | one,: 23
john: 26                      | considerable: 23
king: 26                      | works: 23
deep: 26                      | understand: 23
easy: 26                      | obvious: 23
states: 26                    | them.: 23
cab: 26                       | sister: 23
